id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
54242,"Rua Souza Bandeira, - Vila Santa Luzia - Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,VILA SANTA LUZIA,-8.0474105,-34.9173176,"31/12/2022, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54241,"Rua Rio Paraná - Fosfato, Abreu e Lima - PE, Brasil",Nordeste,Pernambuco,ABREU E LIMA,FOSFATO,,,-7.9023271,-34.8957108,"31/12/2022, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54230,"R. São Bento - Córrego do Eucalipto - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,CORREGO DO EUCALIPTO,-8.0089277,-34.9275418,"31/12/2022, 21:20:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54236,"Torre, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TORRE,,,-8.045010999999999,-34.9099178,"01/01/2023, 09:30:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54253,"Rua Torbenita Verde - Fragoso, Olinda - PE, Brasil",Nordeste,Pernambuco,OLINDA,FRAGOSO,JARDIM FRAGOSO,,-7.9776236,-34.8507767,"01/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54252,"Rua Vera Cruz - Alberto Maia, Camaragibe - PE, Brasil",Nordeste,Pernambuco,CAMARAGIBE,ALBERTO MAIA,,,-8.0243894,-35.0071551,"01/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54260,"Estrada do Engenho Novo, - Usina Maravilha - Goiana, PE, Brasil",Nordeste,Pernambuco,GOIANA,GOIANA,USINA NOSSA SENHORA DAS MARAVILHAS,USINA MARAVILHAS,-7.5339375,-34.9944375,"02/01/2023, 19:00:00",false,false,,Tentativa/Roubo,,,false,1,1,0,0,0,0,0,0,0,0,0,1,0,0
54263,"Rua Doutor Walter Belian - Desterro, Abreu e Lima - PE, Brasil",Nordeste,Pernambuco,ABREU E LIMA,DESTERRO,,,-7.8931993,-34.9065398,"03/01/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,1,0,0,0
54270,"Rua Córrego das Rosas - Jardim Jordão, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,JABOATAO DOS GUARARAPES,JARDIM JORDAO,,CORREGO DAS ROSAS,-8.1471251,-34.9376149,"03/01/2023, 15:00:00",true,true,N�o identificado,Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54284,"R. Quarenta C, 35 - Caetés III, Abreu e Lima - PE, 53545-420, Brasil",Nordeste,Pernambuco,ABREU E LIMA,CAETES III,,,-7.91736909148622,-34.90794057548047,"03/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54290,"Jardim Jordão, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,JABOATAO DOS GUARARAPES,JARDIM JORDAO,,,-8.1461537,-34.9368801,"03/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54299,"Avenida Norte Miguel Arraes de Alencar - Tamarineira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,TAMARINEIRA,,,-8.0296815,-34.9004687,"03/01/2023, 23:30:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
